cab-cap-w,"East West Furniture CAB-CAP-W Capri Kitchen Bench with Wood Seat, 51x15x18 Inch, Cappuccino"
v676la147-6,"East West Furniture V676LA147-6 6 Piece Dining Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Light Sable Linen Fabric Parson Chairs with a Bench, 36x60 Inch, Multi-Color"
v676la147-5,"East West Furniture V676LA147-5 5 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 4 Light Sable Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676ga650-7,"East West Furniture V676GA650-7 7 Piece Dining Room Table Set Consist of a Rectangle Kitchen Table with V-Legs and 6 Dark Gotham Linen Fabric Parson Dining Chairs, 36x60 Inch, Multi-Color"
v676ga650-6,"East West Furniture V676GA650-6 6 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 4 Dark Gotham Linen Fabric Parson Chairs with a Bench, 36x60 Inch, Multi-Color"
v676ga650-5,"East West Furniture V676GA650-5 5 Piece Kitchen Table Set for 4 Includes a Rectangle Dining Room Table with V-Legs and 4 Dark Gotham Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v676fo624-7,"East West Furniture V676FO624-7 7 Piece Dining Table Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Black Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676fo624-5,"East West Furniture V676FO624-5 5 Piece Dinette Set for 4 Includes a Rectangle Dining Room Table with V-Legs and 4 Black Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676fl624-7,"East West Furniture V676FL624-7 7 Piece Kitchen Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Black Linen Fabric Parson Dining Room Chairs, 36x60 Inch, Multi-Color"
v676fl624-6,"East West Furniture V676FL624-6 6 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 4 Black Linen Fabric Upholstered Chairs with a Bench, 36x60 Inch, Multi-Color"
v676fl624-5,"East West Furniture V676FL624-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Black Linen Fabric Parson Dining Room Chairs, 36x60 Inch, Multi-Color"
v676fl121-7,"East West Furniture V676FL121-7 7 Piece Dining Room Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Blue Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v676fl121-5,"East West Furniture V676FL121-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Blue Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v676el635-7,"East West Furniture V676EL635-7 7 Piece Dining Table Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Doeskin Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676el635-6,"East West Furniture V676EL635-6 6 Piece Dining Room Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Doeskin Linen Fabric Parson Chairs with a Bench, 36x60 Inch, Multi-Color"
v676el635-5,"East West Furniture V676EL635-5 5 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 4 Doeskin Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676el121-7,"East West Furniture V676EL121-7 7 Piece Dining Room Furniture Set Consist of a Rectangle Dining Table with V-Legs and 6 Blue Linen Fabric Parsons Chairs, 36x60 Inch, Multi-Color"
v676el121-5,"East West Furniture V676EL121-5 5 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 4 Blue Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v676dr124-7,"East West Furniture V676DR124-7 7 Piece Dining Room Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Black Color Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v676dr124-6,"East West Furniture V676DR124-6 6 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 4 Black Color Linen Fabric Parson Chairs with a Bench, 36x60 Inch, Multi-Color"
v676dr124-5,"East West Furniture V676DR124-5 5 Piece Dinette Set for 4 Includes a Rectangle Dining Table with V-Legs and 4 Black Color Linen Fabric Parson Dining Room Chairs, 36x60 Inch, Multi-Color"
v676ab624-7,"East West Furniture V676AB624-7 7 Piece Kitchen Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Black Color Linen Fabric Parsons Dining Chairs, 36x60 Inch, Multi-Color"
v676ab624-5,"East West Furniture V676AB624-5 5 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 4 Black Color Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v627ve650-6,"East West Furniture V627VE650-6 6 Piece Dining Table Set Contains a Rectangle Wooden Table with V-Legs and 4 Dark Gotham Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627si648-7,"East West Furniture V627SI648-7 7 Piece Kitchen Table & Chairs Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Coffee Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627si648-6,"East West Furniture V627SI648-6 6 Piece Kitchen Table Set Contains a Rectangle Dining Table with V-Legs and 4 Coffee Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627si648-5,"East West Furniture V627SI648-5 5 Piece Dining Room Furniture Set Includes a Rectangle Dining Table with V-Legs and 4 Coffee Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627si121-9,"East West Furniture V627SI121-9 9 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 Blue Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627si121-7,"East West Furniture V627SI121-7 7 Piece Dining Table Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Blue Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627si121-6,"East West Furniture V627SI121-6 6 Piece Dining Table Set Contains a Rectangle Dining Room Table with V-Legs and 4 Blue Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627si121-5,"East West Furniture V627SI121-5 5 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Table with V-Legs and 4 Blue Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627la147-9,"East West Furniture V627LA147-9 9 Piece Dining Table Set Includes a Rectangle Kitchen Table with V-Legs and 8 Light Sable Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v627la147-7,"East West Furniture V627LA147-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Light Sable Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627la147-6,"East West Furniture V627LA147-6 6 Piece Modern Dining Table Set Contains a Rectangle Wooden Table and 4 Light Sable Linen Fabric Upholstered Chairs with a Bench, 40x72 Inch, Multi-Color"
v627la147-5,"East West Furniture V627LA147-5 5 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 4 Light Sable Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627ga650-9,"East West Furniture V627GA650-9 9 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 Dark Gotham Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627ga650-7,"East West Furniture V627GA650-7 7 Piece Kitchen Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Dark Gotham Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627ga650-6,"East West Furniture V627GA650-6 6 Piece Dining Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Dark Gotham Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627ga650-5,"East West Furniture V627GA650-5 5 Piece Dining Room Table Set Includes a Rectangle Kitchen Table with V-Legs and 4 Dark Gotham Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627fo624-9,"East West Furniture V627FO624-9 9 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 8 Black Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v627fo624-7,"East West Furniture V627FO624-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Black Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627fl624-9,"East West Furniture V627FL624-9 9 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 8 Black Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v627fl624-7,"East West Furniture V627FL624-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Black Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627fl624-6,"East West Furniture V627FL624-6 6 Piece Dining Room Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Black Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627fl624-5,"East West Furniture V627FL624-5 5 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Room Table with V-Legs and 4 Black Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627fl121-9,"East West Furniture V627FL121-9 9 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 Blue Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627fl121-7,"East West Furniture V627FL121-7 7 Piece Kitchen Table & Chairs Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Blue Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627fl121-6,"East West Furniture V627FL121-6 6 Piece Kitchen Table & Chairs Set Contains a Rectangle Wooden Table and 4 Blue Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627fl121-5,"East West Furniture V627FL121-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627el635-9,"East West Furniture V627EL635-9 9 Piece Dining Table Set Includes a Rectangle Kitchen Table with V-Legs and 8 Doeskin Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v627el635-7,"East West Furniture V627EL635-7 7 Piece Kitchen Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Doeskin Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v627el635-6,"East West Furniture V627EL635-6 6 Piece Dining Table Set Contains a Rectangle Dining Room Table with V-Legs and 4 Doeskin Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627el635-5,"East West Furniture V627EL635-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Doeskin Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627el121-9,"East West Furniture V627EL121-9 9 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 Blue Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v627el121-7,"East West Furniture V627EL121-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627el121-5,"East West Furniture V627EL121-5 5 Piece Kitchen Table Set for 4 Includes a Rectangle Dining Room Table with V-Legs and 4 Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v627dr124-9,"East West Furniture V627DR124-9 9 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 8 Black Color Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v627dr124-7,"East West Furniture V627DR124-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Black Color Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v627dr124-6,"East West Furniture V627DR124-6 6 Piece Dinette Set Contains a Rectangle Dining Table with V-Legs and 4 Black Color Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v627dr124-5,"East West Furniture V627DR124-5 5 Piece Dining Room Table Set Includes a Rectangle Kitchen Table with V-Legs and 4 Black Color Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v627ab624-9,"East West Furniture V627AB624-9 9 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 Black Color Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v627ab624-7,"East West Furniture V627AB624-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Black Color Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v627ab624-5,"East West Furniture V627AB624-5 5 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 4 Black Color Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v626ve650-6,"East West Furniture V626VE650-6 6 Piece Kitchen Table Set Contains a Rectangle Dining Table with V-Legs and 4 Dark Gotham Linen Fabric Parson Chairs with a Bench, 36x60 Inch, Multi-Color"
v626fo624-7,"East West Furniture V626FO624-7 7 Piece Dining Room Furniture Set Consist of a Rectangle Dining Table with V-Legs and 6 Black Linen Fabric Upholstered Chairs, 36x60 Inch, Multi-Color"
v626fo624-5,"East West Furniture V626FO624-5 5 Piece Dining Room Table Set Includes a Rectangle Dining Table with V-Legs and 4 Black Linen Fabric Upholstered Parson Chairs, 36x60 Inch, Multi-Color"
v2-797,"East West Furniture V2-797 3 Piece Kitchen Table Set for Small Spaces Contains a Rectangle Dining Room Table with V-Legs and 2 Dining Bench, 40x72 Inch, Multi-Color"
v2-796,"East West Furniture V2-796 3 Piece Dining Room Furniture Set Contains a Rectangle Kitchen Table with V-Legs and 2 DIning Table Bench, 36x60 Inch, Multi-Color"
v2-777,"East West Furniture V2-777 3 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Bench, 40x72 Inch, Multi-Color"
v2-776,"East West Furniture V2-776 3 Piece Dinette Set for Small Spaces Contains a Rectangle Dining Table with V-Legs and 2 DIning Table Bench, 36x60 Inch, Multi-Color"
v2-727,"East West Furniture V2-727 3 Piece Dining Table Set for Small Spaces Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Bench, 40x72 Inch, Multi-Color"
v2-726,"East West Furniture V2-726 3 Piece Kitchen Table Set for Small Spaces Contains a Rectangle Dining Table with V-Legs and 2 Dining Room Bench, 36x60 Inch, Multi-Color"
v2-697,"East West Furniture V2-697 3 Piece Dining Table Set for Small Spaces Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Bench, 40x72 Inch, Multi-Color"
v2-696,"East West Furniture V2-696 3 Piece Kitchen Table Set for Small Spaces Contains a Rectangle Dining Table with V-Legs and 2 Dining Room Bench, 36x60 Inch, Multi-Color"
v2-677,"East West Furniture V2-677 3 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Table Bench, 40x72 Inch, Multi-Color"
v2-676,"East West Furniture V2-676 3 Piece Dining Table Set for Small Spaces Contains a Rectangle Dining Room Table with V-Legs and 2 Dining Bench, 36x60 Inch, Multi-Color"
v2-627,"East West Furniture V2-627 3 Piece Modern Dining Table Set Contains a Rectangle Wooden Table with V-Legs and 2 Dining Room Bench, 40x72 Inch, Multi-Color"
v2-626,"East West Furniture V2-626 3 Piece Kitchen Table & Chairs Set Contains a Rectangle Dining Room Table with V-Legs and 2 Dining Bench, 36x60 Inch, Multi-Color"
v2-097,"East West Furniture V2-097 3 Piece Kitchen Table Set for Small Spaces Contains a Rectangle Dining Room Table with V-Legs and 2 Dining Bench, 40x72 Inch, Multi-Color"
v2-096,"East West Furniture V2-096 3 Piece Dining Room Table Set  Contains a Rectangle Kitchen Table with V-Legs and 2 Dining Bench, 36x60 Inch, Multi-Color"
v2-077,"East West Furniture V2-077 3 Piece Dining Room Table Set  Contains a Rectangle Dining Table with V-Legs and 2 Kitchen Bench, 40x72 Inch, Multi-Color"
v2-076,"East West Furniture V2-076 3 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Bench, 36x60 Inch, Multi-Color"
v2-027,"East West Furniture V2-027 3 Piece Modern Dining Table Set Contains a Rectangle Wooden Table with V-Legs and 2 DIning Table Bench, 40x72 Inch, Multi-Color"
v2-026,"East West Furniture V2-026 3 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 2 Kitchen Table Bench, 36x60 Inch, Multi-Color"
v097ve215-9,"East West Furniture V097VE215-9 9 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 8 Baby Blue Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097ve215-7,"East West Furniture V097VE215-7 7 Piece Dining Table Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Baby Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ve215-6,"East West Furniture V097VE215-6 6 Piece Kitchen Table Set Contains a Rectangle Dining Table with V-Legs and 4 Baby Blue Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097ve215-5,"East West Furniture V097VE215-5 5 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Room Table with V-Legs and 4 Baby Blue Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v097ve005-9,"East West Furniture V097VE005-9 9 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 8 Grey Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ve005-7,"East West Furniture V097VE005-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Grey Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v097ve005-6,"East West Furniture V097VE005-6 6 Piece Kitchen Table Set Contains a Rectangle Dining Table with V-Legs and 4 Grey Linen Fabric Upholstered Chairs with a Bench, 40x72 Inch, Multi-Color"
v097ve005-5,"East West Furniture V097VE005-5 5 Piece Kitchen Table Set for 4 Includes a Rectangle Dining Room Table with V-Legs and 4 Grey Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097si215-9,"East West Furniture V097SI215-9 9 Piece Dining Room Set Includes a Rectangle Kitchen Table with V-Legs and 8 Baby Blue Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097si215-7,"East West Furniture V097SI215-7 7 Piece Dining Table Set Consist of a Rectangle Kitchen Table with V-Legs and 6 Baby Blue Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v097si215-6,"East West Furniture V097SI215-6 6 Piece Dining Room Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Baby Blue Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097si215-5,"East West Furniture V097SI215-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Baby Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097la206-9,"East West Furniture V097LA206-9 9 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 8 Shitake Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097la206-7,"East West Furniture V097LA206-7 7 Piece Dining Room Table Set Consist of a Rectangle Kitchen Table with V-Legs and 6 Shitake Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097la206-6,"East West Furniture V097LA206-6 6 Piece Dining Room Table Set Contains a Rectangle Dining Table with V-Legs and 4 Shitake Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097la206-5,"East West Furniture V097LA206-5 5 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Room Table with V-Legs and 4 Shitake Linen Fabric Parsons Chairs, 40x72 Inch, Multi-Color"
v097la015-9,"East West Furniture V097LA015-9 9 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Table with V-Legs and 8 Baby Blue Linen Fabric Parson Chairs, 40x72 Inch, Multi-Color"
v097la015-7,"East West Furniture V097LA015-7 7 Piece Dinette Set Consist of a Rectangle Dining Table with V-Legs and 6 Baby Blue Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v097la015-6,"East West Furniture V097LA015-6 6 Piece Dining Table Set Contains a Rectangle Dining Room Table with V-Legs and 4 Baby Blue Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097la015-5,"East West Furniture V097LA015-5 5 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 4 Baby Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ga235-9,"East West Furniture V097GA235-9 9 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 8 Doeskin Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v097ga235-7,"East West Furniture V097GA235-7 7 Piece Kitchen Table & Chairs Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Doeskin Linen Fabric Parson Chairs, 40x72 Inch, Multi-Color"
v097ga235-6,"East West Furniture V097GA235-6 6 Piece Dining Table Set Contains a Rectangle Dining Room Table with V-Legs and 4 Doeskin Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097ga235-5,"East West Furniture V097GA235-5 5 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 4 Doeskin Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097fo244-9,"East West Furniture V097FO244-9 9 Piece Kitchen Table Set Includes a Rectangle Dining Table with V-Legs and 8 Light grey Faux Leather Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097fo244-7,"East West Furniture V097FO244-7 7 Piece Dining Table Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Light grey Faux Leather Upholstered Chairs, 40x72 Inch, Multi-Color"
v097fo244-5,"East West Furniture V097FO244-5 5 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Table with V-Legs and 4 Light grey Faux Leather Upholstered Chairs, 40x72 Inch, Multi-Color"
v097fl201-9,"East West Furniture V097FL201-9 9 Piece Kitchen Table & Chairs Set Includes a Rectangle Dining Room Table with V-Legs and 8 Cream Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097fl201-7,"East West Furniture V097FL201-7 7 Piece Dining Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Cream Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097fl201-6,"East West Furniture V097FL201-6 6 Piece Dinette Set Contains a Rectangle Dining Room Table with V-Legs and 4 Cream Linen Fabric Upholstered Chairs with a Bench, 40x72 Inch, Multi-Color"
v097fl201-5,"East West Furniture V097FL201-5 5 Piece Dining Room Furniture Set Includes a Rectangle Dining Table with V-Legs and 4 Cream Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097en206-9,"East West Furniture V097EN206-9 9 Piece Dining Room Set Includes a Rectangle Kitchen Table with V-Legs and 8 Dark Shitake Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097en206-7,"East West Furniture V097EN206-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Dark Shitake Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097en206-6,"East West Furniture V097EN206-6 6 Piece Kitchen Table Set Contains a Rectangle Dining Table and 4 Dark Shitake Linen Fabric Upholstered Chairs with a Bench, 40x72 Inch, Multi-Color"
v097en206-5,"East West Furniture V097EN206-5 5 Piece Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 4 Dark Shitake Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097el207-9,"East West Furniture V097EL207-9 9 Piece Kitchen Table Set Includes a Rectangle Dining Table with V-Legs and 8 Gray Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v097el207-7,"East West Furniture V097EL207-7 7 Piece Dining Table Set Consist of a Rectangle Kitchen Table with V-Legs and 6 Gray Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v097el207-6,"East West Furniture V097EL207-6 6 Piece Dining Room Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Gray Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097el207-5,"East West Furniture V097EL207-5 5 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 4 Gray Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097dr207-9,"East West Furniture V097DR207-9 9 Piece Dining Set Includes a Rectangle Dining Room Table with V-Legs and 8 Gray Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097dr207-7,"East West Furniture V097DR207-7 7 Piece Dinette Set Consist of a Rectangle Dining Room Table with V-Legs and 6 Gray Linen Fabric Upholstered Parson Chairs, 40x72 Inch, Multi-Color"
v097dr207-6,"East West Furniture V097DR207-6 6 Piece Dining Table Set Contains a Rectangle Dining Room Table with V-Legs and 4 Gray Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097dr207-5,"East West Furniture V097DR207-5 5 Piece Kitchen Table Set for 4 Includes a Rectangle Dining Room Table with V-Legs and 4 Gray Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ce215-9,"East West Furniture V097CE215-9 9 Piece Kitchen Table Set Includes a Rectangle Dining Table with V-Legs and 8 Baby Blue Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097ce215-7,"East West Furniture V097CE215-7 7 Piece Kitchen Table Set Consist of a Rectangle Dining Table with V-Legs and 6 Baby Blue Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v097ce215-6,"East West Furniture V097CE215-6 6 Piece Dining Set Contains a Rectangle Dining Room Table with V-Legs and 4 Baby Blue Linen Fabric Upholstered Chairs with a Bench, 40x72 Inch, Multi-Color"
v097ce215-5,"East West Furniture V097CE215-5 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with V-Legs and 4 Baby Blue Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097br202-9,"East West Furniture V097BR202-9 9 Piece Dining Room Table Set Includes a Rectangle Kitchen Table with V-Legs and 8 Light Beige Linen Fabric Parsons Dining Chairs, 40x72 Inch, Multi-Color"
v097br202-7,"East West Furniture V097BR202-7 7 Piece Modern Dining Table Set Consist of a Rectangle Wooden Table with V-Legs and 6 Light Beige Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097br202-6,"East West Furniture V097BR202-6 6 Piece Dining Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Light Beige Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097br202-5,"East West Furniture V097BR202-5 5 Piece Dining Room Table Set Includes a Rectangle Dining Table with V-Legs and 4 Light Beige Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ba201-9,"East West Furniture V097BA201-9 9 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with V-Legs and 8 Cream Linen Fabric Parson Dining Room Chairs, 40x72 Inch, Multi-Color"
v097ba201-7,"East West Furniture V097BA201-7 7 Piece Dining Room Table Set Consist of a Rectangle Kitchen Table with V-Legs and 6 Cream Linen Fabric Parson Dining Chairs, 40x72 Inch, Multi-Color"
v097ba201-6,"East West Furniture V097BA201-6 6 Piece Dining Room Table Set Contains a Rectangle Kitchen Table with V-Legs and 4 Cream Linen Fabric Parson Chairs with a Bench, 40x72 Inch, Multi-Color"
v097ba201-5,"East West Furniture V097BA201-5 5 Piece Dining Room Furniture Set Includes a Rectangle Dining Table with V-Legs and 4 Cream Linen Fabric Upholstered Chairs, 40x72 Inch, Multi-Color"
v097ab264-9,"East West Furniture V097AB264-9 9 Piece Modern Dining Table Set Includes a Rectangle Dining Room Table with V-Legs and 8 White Faux Leather Parsons Chairs, 40x72 Inch, Multi-Color"
